Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
The Irvine,Post Brothers Apartments,855-473-7952,"780 S 52nd St, Philadelphia, PA 19143",True,2019,153,https://www.apartments.com/the-irvine-philadelphia-pa/61hve9v/
The Hamilton,The Bozzuto Group,484-334-4683,"1520 Hamilton St, Philadelphia, PA 19130",True,2018,279,https://www.apartments.com/the-hamilton-philadelphia-pa/jk2rxy5/
Hanover North Broad,The Hanover Company,844-892-6318,"322-344 N Broad St, Philadelphia, PA 19107",True,2017,339,https://www.apartments.com/hanover-north-broad-philadelphia-pa/540bw8m/
